Match Day Number,Date of the Game,Home Team,Away Team,Result,Goal Scorers,Yellow Cards,Yellow Card Players,Red Cards,Red Card Players,Attendance
4,2023-09-08 15:30,Schwarzwald Strikers,Sonnendorf Stars,5-2,"Florian Lehmann, Jonas Lehmann, Emil Silva, Mamadou Traoré, Patrick Silva, Patrick Traoré, Florian Lehmann",3,"Yusuf Becker, Timo Müller, Lukas Müller",1,Mamadou Traoré,30850
4,2023-09-08 17:30,Donnerwald Thunder,Bergland Bears,2-1,"Marco Krämer, Lukas Krämer, Marco Krämer",2,"Marco Larsen, Lukas Müller",1,Patrick Kaya,27014
5,2023-09-15 20:30,Eisbach Falcons,Hansestadt Gladiators,2-4,"Timo Traoré, Jonas Huber, Mamadou Becker, Emil Huber, Lukas Traoré, Marco Kaya",4,"Emil García, Mamadou Müller, Jonas Huber, Lukas Müller",1,Lukas Larsen,17697
5,2023-09-15 15:30,Donnerwald Thunder,Schwarzwald Strikers,5-2,"Santiago Silva, Ismael Schmidt, Mamadou Huber, Emil Müller, Mamadou Krämer, Santiago Huber, Emil Lehmann",4,"Santiago Huber, Emil Lehmann, Santiago Silva, Yusuf Kaya",0,,23711
5,2023-09-15 15:30,Mainburg Lions,Kaiserstadt Kings,5-3,"Santiago Kaya, Emil Becker, Jonas Silva, Santiago Huber, Lukas Becker, Timo Kaya, Mamadou Larsen, Jonas Lehmann",3,"Lukas Müller, Marco Larsen, Marco García",1,Emil Huber,42889
5,2023-09-15 15:30,Rheinblick Rovers,Adlerstadt Eagles,4-5,"Florian García, Marco Schmidt, Lukas Silva, Emil Silva, Yusuf García, Jonas Silva, Marco Huber, Patrick Krämer, Patrick Krämer",3,"Florian García, Mamadou Larsen, Florian Larsen",0,,40460
5,2023-09-15 15:30,Bergland Bears,Nordsee Navigators,3-4,"Lukas García, Marco Huber, Patrick Kaya, Jonas Huber, Patrick Krämer, Florian Huber, Ismael Lehmann",0,,0,,16225
5,2023-09-15 15:30,Elbwelle Titans,Alpenheim Warriors,5-0,"Yusuf Becker, Marco Müller, Timo Huber, Emil Becker, Ismael Silva",3,"Emil Becker, Mamadou Huber, Florian García",1,Marco Huber,20093
5,2023-09-15 18:30,Hafenstadt Mariners,Weserwind Wolves,0-4,"Patrick Schmidt, Jonas Müller, Timo Krämer, Florian Kaya",1,Patrick Schmidt,1,Mamadou Larsen,34436
5,2023-09-15 15:30,Ostheim Phoenix,Blitzstadt Lightning,4-5,"Timo Krämer, Lukas Huber, Florian Kaya, Mamadou Larsen, Florian Becker, Jonas Huber, Lukas Krämer, Lukas Müller, Emil Lehmann",1,Emil Krämer,1,Emil Larsen,30486
5,2023-09-15 17:30,Bayerhafen Dynamo,Sonnendorf Stars,2-4,"Mamadou Krämer, Patrick Larsen, Jonas Traoré, Marco Lehmann, Timo Huber, Lukas Huber",4,"Yusuf Becker, Patrick Lehmann, Patrick Larsen, Emil Larsen",0,,46147
6,2023-09-22 20:30,Elbwelle Titans,Ostheim Phoenix,3-5,"Timo Huber, Yusuf Schmidt, Marco Traoré, Florian García, Patrick Kaya, Mamadou Becker, Jonas Silva, Emil Lehmann",1,Lukas Lehmann,1,Marco Huber,18274
6,2023-09-22 15:30,Kaiserstadt Kings,Schwarzwald Strikers,5-3,"Jonas Becker, Mamadou García, Timo García, Santiago Traoré, Yusuf Schmidt, Mamadou Huber, Mamadou Becker, Ismael Schmidt",1,Ismael Schmidt,0,,43436
6,2023-09-22 15:30,Mainburg Lions,Nordsee Navigators,2-1,"Florian Lehmann, Santiago Huber, Yusuf Müller",3,"Yusuf Larsen, Florian Huber, Florian Huber",1,Florian Lehmann,44117
6,2023-09-22 15:30,Blitzstadt Lightning,Weserwind Wolves,5-2,"Yusuf Lehmann, Ismael Larsen, Santiago Larsen, Jonas Müller, Patrick Becker, Lukas Huber, Patrick Krämer",3,"Marco Traoré, Jonas Becker, Santiago Krämer",0,,41459
6,2023-09-22 15:30,Hafenstadt Mariners,Sonnendorf Stars,5-2,"Patrick Schmidt, Lukas Lehmann, Yusuf García, Jonas Müller, Mamadou García, Marco Traoré, Yusuf Becker",3,"Marco Traoré, Timo Krämer, Ismael Larsen",1,Yusuf Schmidt,36886
6,2023-09-22 15:30,Hansestadt Gladiators,Bergland Bears,0-5,"Emil Traoré, Mamadou Traoré, Mamadou Huber, Emil Traoré, Emil Silva",3,"Ismael Kaya, Jonas Traoré, Marco Krämer",0,,45086
6,2023-09-22 18:30,Donnerwald Thunder,Eisbach Falcons,1-3,"Yusuf Becker, Lukas Lehmann, Lukas Müller, Yusuf Kaya",3,"Ismael Traoré, Marco Kaya, Patrick Lehmann",1,Ismael Kaya,28025
6,2023-09-22 15:30,Alpenheim Warriors,Bayerhafen Dynamo,2-0,"Mamadou Krämer, Ismael Müller",1,Santiago Huber,1,Emil Müller,24769
6,2023-09-22 17:30,Adlerstadt Eagles,Rheinblick Rovers,1-2,"Mamadou Kaya, Santiago Müller, Marco Huber",3,"Emil Silva, Jonas Lehmann, Florian Larsen",1,Jonas Lehmann,71247
7,2023-09-29 20:30,Ostheim Phoenix,Mainburg Lions,4-3,"Patrick Larsen, Lukas Silva, Timo Krämer, Mamadou Krämer, Marco Lehmann, Mamadou Traoré, Santiago Huber",3,"Ismael Krämer, Timo Krämer, Ismael Huber",0,,33431
7,2023-09-29 15:30,Rheinblick Rovers,Adlerstadt Eagles,2-2,"Florian Traoré, Florian Larsen, Santiago Silva, Jonas Silva",3,"Jonas Kaya, Timo Becker, Florian Larsen",1,Santiago Traoré,45384
7,2023-09-29 15:30,Bayerhafen Dynamo,Bergland Bears,2-5,"Emil Traoré, Emil Müller, Mamadou Traoré, Florian Becker, Ismael Lehmann, Emil Larsen, Mamadou Traoré",3,"Mamadou Krämer, Mamadou Huber, Lukas Huber",1,Patrick Krämer,44065
7,2023-09-29 15:30,Elbwelle Titans,Blitzstadt Lightning,3-5,"Jonas Huber, Florian Silva, Florian Schmidt, Florian Schmidt, Ismael Silva, Ismael Traoré, Jonas Silva, Mamadou Müller",4,"Jonas Larsen, Emil Larsen, Mamadou Schmidt, Florian Kaya",0,,20485
7,2023-09-29 15:30,Kaiserstadt Kings,Hansestadt Gladiators,5-1,"Patrick Larsen, Yusuf Schmidt, Emil Huber, Patrick Krämer, Emil Traoré, Jonas Krämer",3,"Emil Silva, Marco Krämer, Patrick Silva",0,,47149
7,2023-09-29 15:30,Nordsee Navigators,Donnerwald Thunder,4-1,"Lukas García, Florian Traoré, Yusuf Kaya, Ismael Kaya, Florian Huber",1,Patrick Schmidt,1,Lukas García,35313
7,2023-09-29 18:30,Weserwind Wolves,Hafenstadt Mariners,1-3,"Lukas Krämer, Marco Traoré, Santiago Huber, Yusuf Krämer",4,"Patrick Becker, Patrick Müller, Lukas Lehmann, Ismael Larsen",1,Timo Lehmann,35445
7,2023-09-29 15:30,Schwarzwald Strikers,Sonnendorf Stars,1-5,"Florian Lehmann, Timo Müller, Florian Kaya, Ismael Schmidt, Patrick Traoré, Yusuf Schmidt",0,,0,,32150
7,2023-09-29 17:30,Alpenheim Warriors,Eisbach Falcons,0-1,Yusuf Becker,0,,0,,27699
8,2023-10-06 20:30,Adlerstadt Eagles,Schwarzwald Strikers,2-5,"Jonas Kaya, Florian Larsen, Lukas Silva, Timo Müller, Lukas Müller, Timo Müller, Ismael Müller",1,Jonas Silva,0,,70975
8,2023-10-06 15:30,Hansestadt Gladiators,Hafenstadt Mariners,4-4,"Lukas Larsen, Yusuf Krämer, Jonas Müller, Yusuf García, Mamadou Müller, Timo Lehmann, Yusuf Kaya, Timo Lehmann",2,"Ismael Larsen, Patrick Silva",1,Emil Huber,35730
8,2023-10-06 15:30,Eisbach Falcons,Nordsee Navigators,0-2,"Jonas Becker, Patrick Schmidt",4,"Marco Schmidt, Patrick Lehmann, Santiago Larsen, Florian Huber",0,,17864
8,2023-10-06 15:30,Elbwelle Titans,Alpenheim Warriors,1-4,"Timo Krämer, Jonas Krämer, Santiago Huber, Santiago Krämer, Jonas Larsen",3,"Yusuf Becker, Ismael Becker, Yusuf Schmidt",0,,23934
8,2023-10-06 15:30,Bayerhafen Dynamo,Donnerwald Thunder,1-1,"Yusuf Kaya, Ismael Müller",4,"Florian Kaya, Emil Huber, Ismael Krämer, Marco Krämer",0,,60594
8,2023-10-06 15:30,Ostheim Phoenix,Weserwind Wolves,1-4,"Santiago Huber, Marco Lehmann, Santiago Kaya, Marco Huber, Lukas Müller",3,"Mamadou Schmidt, Lukas Krämer, Lukas Müller",0,,24993
8,2023-10-06 18:30,Sonnendorf Stars,Rheinblick Rovers,0-5,"Emil Traoré, Patrick Becker, Patrick Traoré, Ismael Krämer, Jonas Traoré",2,"Patrick Krämer, Yusuf Huber",1,Ismael Huber,27328
8,2023-10-06 15:30,Blitzstadt Lightning,Mainburg Lions,2-4,"Patrick Larsen, Patrick Müller, Lukas Silva, Santiago Müller, Yusuf Larsen, Emil Becker",3,"Florian Kaya, Mamadou Krämer, Ismael Krämer",1,Timo Krämer,36803
8,2023-10-06 17:30,Bergland Bears,Kaiserstadt Kings,5-4,"Yusuf García, Patrick Müller, Emil Traoré, Mamadou Becker, Marco Krämer, Emil Becker, Ismael Kaya, Mamadou García, Lukas García",2,"Marco Becker, Lukas Larsen",1,Jonas Lehmann,15156
9,2023-10-13 20:30,Rheinblick Rovers,Eisbach Falcons,4-5,"Marco Traoré, Patrick Kaya, Emil Traoré, Yusuf Becker, Lukas Traoré, Santiago Silva, Patrick Lehmann, Patrick Krämer, Emil Krämer",0,,0,,40385
9,2023-10-13 15:30,Hansestadt Gladiators,Bayerhafen Dynamo,2-0,"Emil Krämer, Marco Krämer",0,,0,,44217
9,2023-10-13 15:30,Hafenstadt Mariners,Weserwind Wolves,5-5,"Santiago Huber, Mamadou Schmidt, Lukas Lehmann, Lukas Kaya, Marco Traoré, Florian Krämer, Yusuf Lehmann, Florian Kaya, Patrick Becker, Yusuf Schmidt",1,Patrick Lehmann,1,Lukas Krämer,28517
9,2023-10-13 15:30,Schwarzwald Strikers,Sonnendorf Stars,3-1,"Florian Lehmann, Santiago Kaya, Timo García, Yusuf Lehmann",0,,0,,28144
9,2023-10-13 15:30,Ostheim Phoenix,Kaiserstadt Kings,3-2,"Lukas Krämer, Ismael Becker, Marco Schmidt, Ismael Larsen, Emil Lehmann",1,Ismael Huber,1,Emil Krämer,25787
9,2023-10-13 15:30,Mainburg Lions,Adlerstadt Eagles,2-2,"Lukas Müller, Marco Huber, Santiago Huber, Lukas Silva",1,Marco Kaya,0,,48232
9,2023-10-13 18:30,Donnerwald Thunder,Bergland Bears,2-0,"Lukas Krämer, Emil Traoré",1,Lukas García,1,Emil Traoré,26933
9,2023-10-13 15:30,Nordsee Navigators,Alpenheim Warriors,1-3,"Ismael Kaya, Patrick Schmidt, Florian Becker, Florian Krämer",2,"Marco Huber, Marco Schmidt",1,Patrick Schmidt,34360
9,2023-10-13 17:30,Blitzstadt Lightning,Elbwelle Titans,0-1,Lukas García,0,,0,,43430
10,2023-10-20 20:30,Alpenheim Warriors,Blitzstadt Lightning,3-0,"Marco Müller, Timo Krämer, Lukas Huber",1,Yusuf Lehmann,0,,27976
10,2023-10-20 15:30,Hansestadt Gladiators,Donnerwald Thunder,5-1,"Mamadou Müller, Emil Lehmann, Marco Becker, Mamadou Larsen, Timo Kaya, Timo Lehmann",4,"Patrick Larsen, Emil Silva, Jonas Huber, Timo Lehmann",0,,33943
10,2023-10-20 15:30,Ostheim Phoenix,Hafenstadt Mariners,3-4,"Emil Krämer, Patrick Müller, Timo Lehmann, Ismael Huber, Marco Huber, Yusuf García, Patrick Schmidt",1,Ismael Becker,1,Marco Huber,24550
10,2023-10-20 15:30,Bayerhafen Dynamo,Elbwelle Titans,5-5,"Marco Becker, Ismael Müller, Timo Huber, Ismael Silva, Patrick Lehmann, Jonas Schmidt, Ismael Krämer, Mamadou Silva, Jonas Larsen, Timo Becker",2,"Mamadou Huber, Marco Schmidt",0,,57332
10,2023-10-20 15:30,Schwarzwald Strikers,Mainburg Lions,3-0,"Mamadou Becker, Timo García, Mamadou Traoré",1,Timo García,0,,29124
10,2023-10-20 15:30,Weserwind Wolves,Bergland Bears,4-2,"Mamadou Schmidt, Florian Krämer, Patrick Becker, Yusuf García, Lukas Kaya, Yusuf Lehmann",0,,0,,34120
10,2023-10-20 18:30,Adlerstadt Eagles,Nordsee Navigators,2-2,"Yusuf Huber, Florian Huber, Jonas Traoré, Patrick Schmidt",2,"Santiago Müller, Patrick Kaya",1,Marco Müller,56440
10,2023-10-20 15:30,Kaiserstadt Kings,Rheinblick Rovers,5-0,"Lukas Silva, Santiago Kaya, Marco García, Jonas Lehmann, Jonas Lehmann",0,,1,Patrick Krämer,56111
10,2023-10-20 17:30,Eisbach Falcons,Sonnendorf Stars,0-3,"Yusuf Becker, Ismael Lehmann, Marco Kaya",3,"Lukas Traoré, Patrick Traoré, Ismael Huber",0,,19870
11,2023-10-27 20:30,Elbwelle Titans,Hansestadt Gladiators,3-1,"Timo Huber, Emil Silva, Mamadou Müller, Jonas Silva",2,"Ismael Kaya, Ismael Huber",0,,19437
11,2023-10-27 15:30,Hafenstadt Mariners,Sonnendorf Stars,5-1,"Patrick Becker, Timo Lehmann, Mamadou Larsen, Patrick Becker, Yusuf Schmidt, Timo Krämer",0,,1,Patrick Huber,32357
11,2023-10-27 15:30,Alpenheim Warriors,Blitzstadt Lightning,3-2,"Emil Becker, Ismael Silva, Ismael Müller, Jonas Schmidt, Yusuf Becker",3,"Marco Müller, Florian Kaya, Emil Larsen",0,,21331
11,2023-10-27 15:30,Mainburg Lions,Bayerhafen Dynamo,0-2,"Emil Huber, Emil Huber",3,"Mamadou Krämer, Santiago Huber, Ismael Traoré",1,Emil Becker,47645
11,2023-10-27 15:30,Kaiserstadt Kings,Donnerwald Thunder,1-2,"Santiago Becker, Florian Kaya, Marco Larsen",4,"Emil Müller, Lukas Müller, Patrick Krämer, Ismael Kaya",0,,52384
11,2023-10-27 15:30,Nordsee Navigators,Rheinblick Rovers,2-5,"Yusuf Müller, Jonas Lehmann, Emil Lehmann, Yusuf García, Florian Huber, Patrick Kaya, Emil Traoré",2,"Jonas Schmidt, Santiago Silva",0,,36179
11,2023-10-27 18:30,Weserwind Wolves,Schwarzwald Strikers,4-0,"Patrick Silva, Jonas Müller, Patrick Krämer, Santiago Huber",3,"Florian Huber, Jonas Silva, Patrick Silva",1,Emil Schmidt,29027
11,2023-10-27 15:30,Ostheim Phoenix,Bergland Bears,0-2,"Patrick Müller, Santiago Kaya",3,"Mamadou García, Patrick Kaya, Mamadou Traoré",1,Patrick Krämer,31236
11,2023-10-27 17:30,Adlerstadt Eagles,Eisbach Falcons,5-4,"Mamadou Kaya, Marco Traoré, Patrick Schmidt, Mamadou Krämer, Emil García, Patrick Lehmann, Florian Larsen, Lukas Lehmann, Lukas Müller",0,,1,Jonas Kaya,71563
12,2023-11-03 20:30,Sonnendorf Stars,Schwarzwald Strikers,4-3,"Lukas Müller, Jonas Lehmann, Ismael Schmidt, Mamadou Krämer, Santiago Müller, Santiago Silva, Timo García",0,,0,,25589
12,2023-11-03 15:30,Weserwind Wolves,Alpenheim Warriors,4-5,"Marco Müller, Ismael Becker, Emil Kaya, Patrick Becker, Lukas Huber, Yusuf Müller, Santiago Huber, Ismael Silva, Marco Huber",3,"Marco Müller, Mamadou Schmidt, Santiago Huber",0,,32417
12,2023-11-03 15:30,Adlerstadt Eagles,Mainburg Lions,0-5,"Emil Huber, Florian Müller, Santiago Müller, Florian Larsen, Patrick Larsen",4,"Mamadou Larsen, Marco Kaya, Marco Huber, Lukas Silva",1,Santiago Lehmann,68727
12,2023-11-03 15:30,Nordsee Navigators,Blitzstadt Lightning,5-2,"Ismael Becker, Lukas Müller, Florian Silva, Emil Becker, Santiago Larsen, Jonas Traoré, Marco Traoré",1,Ismael Kaya,1,Yusuf García,35827
12,2023-11-03 15:30,Hansestadt Gladiators,Kaiserstadt Kings,1-1,"Marco Lehmann, Mamadou Becker",2,"Patrick Larsen, Emil Traoré",1,Patrick Silva,36942
12,2023-11-03 15:30,Bayerhafen Dynamo,Eisbach Falcons,2-3,"Timo Becker, Mamadou Krämer, Jonas Huber, Jonas Becker, Lukas Traoré",2,"Ismael Traoré, Florian Lehmann",0,,53500
12,2023-11-03 18:30,Donnerwald Thunder,Bergland Bears,3-1,"Mamadou Krämer, Lukas Müller, Lukas Lehmann, Patrick Larsen",3,"Lukas García, Florian Traoré, Florian Silva",0,,29098
12,2023-11-03 15:30,Hafenstadt Mariners,Ostheim Phoenix,5-1,"Marco Traoré, Marco Traoré, Yusuf Krämer, Marco Lehmann, Ismael Becker, Mamadou Huber",0,,0,,31804
12,2023-11-03 17:30,Elbwelle Titans,Rheinblick Rovers,4-2,"Mamadou Schmidt, Florian Traoré, Patrick Kaya, Patrick Krämer, Ismael Schmidt, Jonas Silva",0,,1,Patrick Kaya,20472
13,2023-11-10 20:30,Bayerhafen Dynamo,Kaiserstadt Kings,5-4,"Patrick Müller, Marco García, Jonas Becker, Jonas Huber, Santiago Kaya, Yusuf Schmidt, Emil Müller, Florian Traoré, Jonas Krämer",0,,0,,51157
13,2023-11-10 15:30,Blitzstadt Lightning,Eisbach Falcons,5-1,"Santiago Müller, Emil García, Ismael Silva, Florian Larsen, Santiago Larsen, Mamadou Larsen",0,,1,Ismael Becker,41987
13,2023-11-10 15:30,Donnerwald Thunder,Schwarzwald Strikers,1-3,"Mamadou Krämer, Marco Lehmann, Emil Müller, Emil Lehmann",3,"Santiago Kaya, Santiago Silva, Yusuf García",0,,27039
13,2023-11-10 15:30,Alpenheim Warriors,Nordsee Navigators,2-1,"Jonas Müller, Ismael Kaya, Marco Traoré",1,Timo Krämer,0,,25968
13,2023-11-10 15:30,Elbwelle Titans,Mainburg Lions,1-1,"Lukas Silva, Mamadou Becker",1,Mamadou Huber,0,,23152
13,2023-11-10 15:30,Rheinblick Rovers,Bergland Bears,3-2,"Emil Silva, Santiago Lehmann, Santiago Lehmann, Lukas Silva, Marco Schmidt",1,Santiago Traoré,0,,43670
13,2023-11-10 18:30,Sonnendorf Stars,Ostheim Phoenix,4-0,"Yusuf Krämer, Mamadou García, Emil Krämer, Ismael García",3,"Marco Huber, Florian Kaya, Mamadou García",1,Yusuf Huber,29250
13,2023-11-10 15:30,Adlerstadt Eagles,Weserwind Wolves,3-2,"Florian Müller, Yusuf Müller, Ismael Larsen, Jonas Becker, Florian Krämer",0,,0,,54492
13,2023-11-10 17:30,Hafenstadt Mariners,Hansestadt Gladiators,0-4,"Florian Larsen, Emil García, Patrick Huber, Timo Lehmann",3,"Yusuf Kaya, Emil Silva, Jonas Huber",1,Marco Traoré,28383
14,2023-11-17 20:30,Ostheim Phoenix,Nordsee Navigators,3-4,"Jonas Huber, Lukas Krämer, Ismael Kaya, Emil Lehmann, Ismael García, Marco Huber, Jonas Schmidt",2,"Ismael Huber, Florian Huber",0,,32143
14,2023-11-17 15:30,Blitzstadt Lightning,Bergland Bears,1-4,"Jonas Traoré, Lukas García, Mamadou Krämer, Ismael Becker, Santiago Lehmann",2,"Florian Silva, Lukas Müller",1,Mamadou Krämer,37692
14,2023-11-17 15:30,Alpenheim Warriors,Kaiserstadt Kings,2-3,"Marco Müller, Florian Krämer, Santiago Kaya, Florian Müller, Jonas Becker",4,"Emil García, Jonas Kaya, Santiago Traoré, Marco Müller",0,,24748
14,2023-11-17 15:30,Weserwind Wolves,Hansestadt Gladiators,2-4,"Emil Huber, Lukas Silva, Emil Kaya, Florian Huber, Mamadou Schmidt, Mamadou Becker",3,"Mamadou Schmidt, Florian Traoré, Marco Becker",1,Yusuf Kaya,37157
