Team Name,Surname,Lastname,Nationality,Age,Height (cm),Weight (kg),Market Value (EURO),Strong Foot,Position,Homegrown Player,International Player,International Games
Nordsee Navigators,Marco,Schmidt,Ivory Coast,26,192,79,8657750,Both,RB,Yes,No,4
Nordsee Navigators,Marco,Schmidt,Ivory Coast,35,188,69,6532627,Right,CF,No,Yes,49
Nordsee Navigators,Lukas,García,Japan,32,183,88,5374183,Right,LM,Yes,No,24
Bayerhafen Dynamo,Emil,Müller,Germany,20,180,88,5407948,Both,LM,Yes,Yes,30
Bayerhafen Dynamo,Marco,Becker,Ivory Coast,17,177,67,8420903,Left,LB,Yes,Yes,38
Bayerhafen Dynamo,Patrick,Lehmann,Japan,20,165,76,7588767,Both,RWB,Yes,Yes,0
Bayerhafen Dynamo,Lukas,Müller,Italy,36,170,75,4974614,Both,SS,Yes,No,0
Bayerhafen Dynamo,Emil,Larsen,Argentina,18,193,86,7370846,Left,RB,No,No,6
Bayerhafen Dynamo,Jonas,Huber,Japan,31,175,88,5979984,Left,CB,No,Yes,11
Bayerhafen Dynamo,Mamadou,Krämer,Spain,31,171,90,5656662,Left,ST,Yes,Yes,0
Bayerhafen Dynamo,Emil,Huber,Germany,19,173,90,4880202,Left,LB,No,Yes,13
Bayerhafen Dynamo,Florian,Traoré,Argentina,25,173,74,4137125,Left,RM,Yes,Yes,42
Bayerhafen Dynamo,Ismael,Krämer,Brazil,34,177,85,9725425,Right,SS,No,Yes,38
Bayerhafen Dynamo,Patrick,Larsen,Senegal,19,186,63,1370565,Right,CF,No,No,0
Bayerhafen Dynamo,Ismael,Müller,Italy,29,166,68,9942301,Left,ST,Yes,Yes,45
Bayerhafen Dynamo,Marco,Lehmann,Netherlands,17,191,72,4730165,Left,SS,No,Yes,0
Bayerhafen Dynamo,Santiago,Kaya,Ivory Coast,29,198,86,1055768,Both,LB,Yes,Yes,2
Bayerhafen Dynamo,Lukas,Huber,Argentina,33,179,69,5064219,Left,RB,Yes,No,0
Bayerhafen Dynamo,Emil,Becker,France,22,196,88,4113082,Right,LB,No,No,29
Bayerhafen Dynamo,Florian,Lehmann,France,23,181,85,3659328,Both,RM,Yes,Yes,48
Bayerhafen Dynamo,Timo,Becker,Brazil,29,182,81,3841639,Both,CF,Yes,No,36
Bayerhafen Dynamo,Emil,Krämer,Poland,16,185,60,3760500,Both,SS,No,No,24
Bayerhafen Dynamo,Yusuf,Lehmann,Germany,16,192,74,1282472,Both,ST,Yes,No,8
Bayerhafen Dynamo,Jonas,Schmidt,Denmark,36,173,75,3151106,Left,RM,No,No,0
Bayerhafen Dynamo,Timo,Huber,Turkey,22,170,64,2761686,Right,SW,Yes,No,0
Blitzstadt Lightning,Yusuf,García,Poland,33,196,79,3808272,Both,GK,Yes,Yes,0
Blitzstadt Lightning,Ismael,Becker,Brazil,32,172,66,7318577,Right,SS,Yes,Yes,0
Blitzstadt Lightning,Ismael,Silva,Italy,29,194,76,3643087,Left,LB,Yes,Yes,0
Blitzstadt Lightning,Santiago,Müller,Italy,34,170,76,3058375,Right,RB,No,Yes,40
Blitzstadt Lightning,Emil,Larsen,France,27,193,62,9839020,Right,CB,No,No,0
Blitzstadt Lightning,Santiago,Larsen,Turkey,32,170,68,5302230,Both,RM,No,Yes,0
Blitzstadt Lightning,Florian,Larsen,Denmark,16,182,62,8526206,Left,RB,No,Yes,3
Blitzstadt Lightning,Timo,Krämer,Argentina,16,196,84,5139011,Both,CDM,No,No,7
Blitzstadt Lightning,Yusuf,Lehmann,Italy,29,183,81,7816682,Left,RB,No,No,13
Blitzstadt Lightning,Lukas,Silva,England,23,176,69,8179891,Both,LB,Yes,Yes,0
Blitzstadt Lightning,Florian,Silva,Italy,25,191,75,1564123,Left,RM,Yes,Yes,0
Blitzstadt Lightning,Marco,Traoré,Brazil,17,175,66,1444695,Right,CF,No,No,14
Blitzstadt Lightning,Emil,Becker,Poland,34,186,72,5591698,Both,CAM,No,Yes,47
Blitzstadt Lightning,Lukas,Huber,Argentina,31,176,81,4502903,Left,LM,Yes,No,0
Blitzstadt Lightning,Florian,Becker,Spain,34,176,64,2165824,Right,LWB,No,Yes,13
Blitzstadt Lightning,Mamadou,Larsen,Argentina,25,183,66,7489538,Left,LM,Yes,Yes,32
Blitzstadt Lightning,Lukas,García,Turkey,24,177,72,7599519,Right,CDM,Yes,Yes,0
Blitzstadt Lightning,Lukas,Müller,Poland,22,181,78,5215809,Both,LW,No,Yes,0
Blitzstadt Lightning,Florian,Kaya,Italy,27,175,79,7763900,Both,CB,Yes,No,0
Sonnendorf Stars,Ismael,Huber,Netherlands,32,169,72,8210382,Left,CB,No,Yes,48
Sonnendorf Stars,Florian,Silva,Argentina,24,177,73,4675528,Left,RM,No,No,50
Sonnendorf Stars,Timo,Silva,England,17,167,90,7687918,Right,CF,No,Yes,0
Sonnendorf Stars,Ismael,Schmidt,Italy,21,184,67,3928011,Both,SS,Yes,No,8
Sonnendorf Stars,Jonas,Traoré,Italy,26,175,80,9218956,Both,CF,No,No,0
Sonnendorf Stars,Florian,Kaya,Turkey,35,185,75,3470905,Both,GK,No,Yes,0
Sonnendorf Stars,Florian,Lehmann,Senegal,33,184,60,9031913,Left,LW,No,Yes,50
Sonnendorf Stars,Patrick,Traoré,Japan,35,166,87,9867911,Right,RWB,No,Yes,41
Sonnendorf Stars,Mamadou,Silva,Brazil,30,200,69,6369408,Both,SS,No,Yes,37
Sonnendorf Stars,Florian,Lehmann,Argentina,21,171,68,1689848,Both,CF,Yes,No,0
Sonnendorf Stars,Yusuf,Becker,Ivory Coast,29,191,86,1449325,Left,RM,No,No,0
Sonnendorf Stars,Santiago,Becker,Poland,35,191,70,7821973,Right,CDM,No,No,4
Sonnendorf Stars,Mamadou,Traoré,Italy,26,181,68,7629898,Both,LM,No,Yes,0
Sonnendorf Stars,Patrick,Becker,Netherlands,16,176,80,2723610,Left,SS,Yes,No,16
Sonnendorf Stars,Mamadou,García,Germany,26,194,78,4613267,Left,ST,No,No,0
Sonnendorf Stars,Yusuf,Huber,Poland,26,172,87,2916580,Left,LW,No,Yes,49
Sonnendorf Stars,Yusuf,Schmidt,Poland,22,176,83,4116501,Left,ST,No,No,0
Sonnendorf Stars,Jonas,Lehmann,France,28,198,90,3968519,Right,SS,Yes,No,0
Ostheim Phoenix,Yusuf,Krämer,Ivory Coast,23,174,64,6209299,Right,CM,Yes,Yes,0
Ostheim Phoenix,Marco,Traoré,Denmark,30,198,82,2941160,Both,RW,Yes,No,0
Ostheim Phoenix,Ismael,Huber,Turkey,28,194,88,4427046,Right,RB,No,No,33
Ostheim Phoenix,Patrick,Müller,Poland,31,183,82,8511427,Left,CDM,No,No,0
Ostheim Phoenix,Mamadou,García,Argentina,23,193,65,7528289,Right,RM,No,No,25
Ostheim Phoenix,Mamadou,Huber,Spain,17,184,78,9128562,Left,RWB,No,No,7
Ostheim Phoenix,Emil,Lehmann,Denmark,27,189,82,2995955,Right,LWB,Yes,No,33
Ostheim Phoenix,Santiago,Kaya,Senegal,32,186,88,2331657,Left,CF,No,Yes,0
Ostheim Phoenix,Ismael,Becker,France,31,199,69,6662929,Left,ST,No,No,0
Ostheim Phoenix,Marco,Schmidt,Poland,32,165,83,9559036,Both,RM,No,No,14
Ostheim Phoenix,Lukas,Müller,Belgium,24,183,77,6181703,Right,CF,No,No,0
Ostheim Phoenix,Marco,Lehmann,Turkey,20,194,80,8763660,Both,LM,Yes,Yes,24
Ostheim Phoenix,Ismael,García,Brazil,16,171,73,8007909,Left,CM,No,No,0
Ostheim Phoenix,Patrick,Larsen,Denmark,16,192,71,1225115,Both,LWB,Yes,Yes,12
Ostheim Phoenix,Lukas,Krämer,Netherlands,24,189,90,9576627,Both,RB,Yes,Yes,0
Ostheim Phoenix,Emil,Krämer,Spain,19,192,80,4230241,Left,SW,No,No,12
Ostheim Phoenix,Jonas,Huber,Italy,34,168,73,5836431,Left,RM,Yes,Yes,0
Ostheim Phoenix,Patrick,Kaya,Ivory Coast,36,187,60,1600269,Left,SS,No,No,0
Ostheim Phoenix,Marco,Huber,Denmark,33,179,79,7525448,Both,SS,No,Yes,0
Kaiserstadt Kings,Ismael,Larsen,Japan,28,166,70,1008410,Right,CAM,Yes,No,6
Kaiserstadt Kings,Patrick,Müller,England,28,183,79,6386605,Both,LWB,Yes,No,29
Kaiserstadt Kings,Emil,Traoré,Brazil,18,180,71,2606436,Both,LWB,No,No,0
Kaiserstadt Kings,Jonas,Becker,England,24,194,85,2740136,Left,LM,Yes,No,0
Kaiserstadt Kings,Yusuf,Schmidt,Ivory Coast,27,179,63,6080464,Left,CF,Yes,No,7
Kaiserstadt Kings,Mamadou,Larsen,Netherlands,17,194,78,4720157,Right,CDM,No,Yes,0
Kaiserstadt Kings,Emil,Becker,France,36,187,88,1048361,Right,GK,Yes,Yes,24
Kaiserstadt Kings,Timo,Krämer,Italy,24,196,67,3104040,Right,ST,Yes,Yes,0
Kaiserstadt Kings,Santiago,Becker,Japan,28,172,75,9131639,Right,SW,Yes,Yes,0
Kaiserstadt Kings,Mamadou,García,Spain,36,198,88,9239555,Right,CF,No,No,0
Kaiserstadt Kings,Ismael,Kaya,Japan,18,193,89,9530320,Right,RM,No,Yes,17
Kaiserstadt Kings,Yusuf,Larsen,Germany,21,172,81,3963281,Right,LM,Yes,No,0
Kaiserstadt Kings,Jonas,Krämer,Ivory Coast,32,182,90,7748973,Left,LB,No,No,25
Kaiserstadt Kings,Santiago,Traoré,Ivory Coast,27,169,62,2749791,Right,LW,Yes,No,0
Kaiserstadt Kings,Marco,Becker,Poland,34,189,86,8740343,Both,CDM,Yes,No,47
Kaiserstadt Kings,Lukas,Becker,Netherlands,23,181,87,3605149,Right,CF,No,No,50
Kaiserstadt Kings,Florian,Krämer,Germany,36,174,86,4666782,Both,CDM,No,No,49
Kaiserstadt Kings,Jonas,Lehmann,Italy,35,183,60,1098127,Left,ST,Yes,Yes,3
Kaiserstadt Kings,Patrick,Krämer,Netherlands,25,194,64,5615279,Left,CDM,No,Yes,0
Kaiserstadt Kings,Jonas,Lehmann,England,32,185,85,1239857,Right,RWB,No,No,49
Kaiserstadt Kings,Mamadou,Becker,Senegal,34,180,64,1528683,Left,SW,No,Yes,0
Kaiserstadt Kings,Marco,García,Japan,25,188,71,1246715,Right,CM,No,No,27
Kaiserstadt Kings,Santiago,Kaya,Italy,22,182,75,5273065,Right,CB,Yes,Yes,2
Bergland Bears,Mamadou,Huber,Italy,35,187,72,5734124,Left,LM,Yes,Yes,0
Bergland Bears,Patrick,Krämer,Ivory Coast,30,194,88,5877019,Both,CB,No,No,37
Bergland Bears,Patrick,Kaya,Senegal,29,177,70,9874247,Left,RM,Yes,No,0
Bergland Bears,Santiago,Lehmann,England,26,197,65,9502528,Left,RM,No,Yes,0
Bergland Bears,Emil,Silva,Brazil,32,194,65,1491133,Left,LWB,Yes,Yes,13
Bergland Bears,Lukas,Larsen,France,22,175,65,8891776,Both,LB,Yes,No,24
Bergland Bears,Florian,Becker,England,32,171,67,5527475,Left,ST,Yes,No,50
Bergland Bears,Mamadou,Traoré,Brazil,19,174,90,4525375,Right,LM,No,Yes,21
Bergland Bears,Lukas,Lehmann,Turkey,27,189,65,7449445,Right,SS,Yes,Yes,0
Bergland Bears,Mamadou,Krämer,Senegal,34,188,63,9778001,Both,SS,No,No,0
Bergland Bears,Ismael,Schmidt,France,16,183,85,8610239,Right,RB,No,Yes,0
Bergland Bears,Mamadou,Traoré,Belgium,20,177,87,7013104,Right,LM,Yes,Yes,46
Bergland Bears,Yusuf,García,Senegal,26,173,79,5666162,Right,LWB,No,No,0
Bergland Bears,Jonas,Traoré,Turkey,19,183,62,8154285,Right,SS,No,No,39
Bergland Bears,Patrick,Kaya,England,30,184,69,4647713,Left,LB,No,Yes,28
Bergland Bears,Emil,Traoré,France,35,180,66,2446255,Both,CB,Yes,No,18
Bergland Bears,Ismael,Lehmann,Senegal,28,189,84,4080340,Left,GK,No,Yes,50
Bergland Bears,Marco,Krämer,Turkey,18,186,64,4179526,Left,CDM,Yes,No,0
Bergland Bears,Jonas,Kaya,Argentina,18,198,85,2688655,Right,RM,No,Yes,0
Bergland Bears,Lukas,García,Italy,19,199,89,7558469,Both,LB,No,Yes,0
Mainburg Lions,Patrick,Lehmann,England,31,175,81,1073854,Left,CB,No,Yes,44
Mainburg Lions,Santiago,Huber,Belgium,31,194,86,8397881,Right,RWB,No,Yes,5
Mainburg Lions,Timo,Krämer,Poland,24,195,87,5478954,Left,RWB,No,No,2
Mainburg Lions,Lukas,Müller,Italy,16,187,76,8247999,Left,LW,Yes,No,0
Mainburg Lions,Patrick,Larsen,Germany,25,165,85,5379934,Both,SS,Yes,No,30
Mainburg Lions,Marco,Larsen,Netherlands,19,171,74,1280663,Left,LW,Yes,No,0
Mainburg Lions,Ismael,Krämer,France,16,194,76,6051772,Right,RB,No,No,14
Mainburg Lions,Marco,Kaya,England,28,182,83,2549373,Right,CM,Yes,No,43
Mainburg Lions,Marco,Larsen,Argentina,26,179,78,4983914,Both,RB,Yes,Yes,0
Mainburg Lions,Patrick,Müller,Poland,28,176,84,6062088,Both,RB,Yes,No,0
Mainburg Lions,Jonas,Silva,Belgium,32,176,85,7897032,Left,RM,No,Yes,27
Mainburg Lions,Mamadou,Traoré,Belgium,24,176,73,1754489,Left,RWB,Yes,No,32
Mainburg Lions,Ismael,García,Netherlands,29,181,65,9855883,Right,SW,Yes,No,0
Mainburg Lions,Mamadou,Becker,Ivory Coast,35,171,87,7883588,Both,RW,Yes,Yes,37
Mainburg Lions,Santiago,Huber,Poland,18,166,73,1862380,Right,LM,No,Yes,6
Mainburg Lions,Emil,Huber,Belgium,21,165,70,6376304,Left,ST,No,Yes,0
Mainburg Lions,Jonas,Müller,Poland,22,177,62,7226723,Right,SS,Yes,Yes,0
Mainburg Lions,Yusuf,Larsen,Japan,26,167,89,8586864,Both,CF,Yes,Yes,0
Mainburg Lions,Yusuf,Lehmann,Poland,32,186,90,8329258,Both,LM,Yes,No,0
Mainburg Lions,Timo,Kaya,Italy,21,195,89,3436814,Right,CDM,No,No,10
Mainburg Lions,Mamadou,Krämer,France,20,190,60,8700890,Right,SW,No,Yes,0
Mainburg Lions,Lukas,Silva,Brazil,31,165,74,9840325,Right,ST,Yes,Yes,0
Mainburg Lions,Ismael,Traoré,England,22,185,72,3506721,Both,SW,Yes,No,28
Alpenheim Warriors,Timo,Krämer,Spain,24,169,81,1906795,Right,CAM,No,No,0
Alpenheim Warriors,Ismael,Müller,Brazil,30,171,72,8251678,Right,CDM,No,No,32
Alpenheim Warriors,Ismael,Silva,Argentina,35,192,73,1438159,Right,CF,Yes,Yes,0
Alpenheim Warriors,Jonas,Müller,Argentina,18,179,69,6541064,Both,SS,No,No,23
Alpenheim Warriors,Jonas,Krämer,Germany,30,199,76,6928601,Left,RW,Yes,Yes,29
Alpenheim Warriors,Florian,Müller,Turkey,16,193,75,7718298,Both,GK,Yes,Yes,30
Alpenheim Warriors,Florian,Krämer,Spain,23,199,73,8091441,Left,LB,No,No,0
Alpenheim Warriors,Emil,García,Japan,25,180,68,9421116,Right,CM,Yes,No,13
Alpenheim Warriors,Marco,Müller,Argentina,22,166,62,9701788,Left,CDM,Yes,Yes,0
Alpenheim Warriors,Ismael,Becker,Italy,35,175,63,8537225,Left,SS,Yes,Yes,0
Alpenheim Warriors,Yusuf,Becker,England,32,167,76,8299354,Both,ST,No,Yes,0
Alpenheim Warriors,Santiago,Silva,Netherlands,35,176,62,4747449,Both,CM,No,No,29
Alpenheim Warriors,Marco,Huber,Ivory Coast,18,171,70,9844052,Left,CB,Yes,Yes,21
Alpenheim Warriors,Jonas,Kaya,Brazil,16,178,88,2944731,Both,LWB,Yes,Yes,2
Alpenheim Warriors,Florian,Becker,Ivory Coast,23,189,75,9709076,Both,RWB,No,Yes,48
Alpenheim Warriors,Patrick,Schmidt,Spain,18,166,75,2865214,Right,CF,Yes,No,0
Alpenheim Warriors,Jonas,Schmidt,Poland,30,189,66,1890158,Both,CM,No,No,0
Alpenheim Warriors,Santiago,Huber,Germany,29,192,64,6593190,Left,SS,No,No,16
Weserwind Wolves,Florian,Huber,Senegal,22,196,71,2802022,Left,ST,No,No,0
Weserwind Wolves,Jonas,Becker,Brazil,36,175,81,9457033,Both,SS,Yes,No,40
Weserwind Wolves,Emil,Kaya,Spain,17,178,90,9248381,Both,CAM,No,Yes,0
Weserwind Wolves,Ismael,Larsen,Ivory Coast,33,181,84,2258041,Both,RM,No,No,24
Weserwind Wolves,Santiago,Huber,Ivory Coast,36,189,86,1088164,Left,CM,No,Yes,2
Weserwind Wolves,Mamadou,Schmidt,Spain,36,182,70,1672218,Left,LM,Yes,Yes,0
Weserwind Wolves,Jonas,Silva,France,36,176,62,8613585,Left,LB,No,Yes,0
Weserwind Wolves,Lukas,Kaya,Poland,26,177,69,3832792,Left,CF,Yes,Yes,0
Weserwind Wolves,Lukas,Huber,Turkey,22,184,75,5284531,Right,SS,Yes,Yes,3
Weserwind Wolves,Patrick,Lehmann,Ivory Coast,36,194,76,6951691,Right,CB,No,Yes,48
Weserwind Wolves,Lukas,Silva,Netherlands,28,181,69,5024382,Right,LB,Yes,Yes,0
Weserwind Wolves,Santiago,Krämer,Japan,25,193,64,2476396,Both,LM,Yes,Yes,0
Weserwind Wolves,Yusuf,Müller,Spain,17,187,60,2151584,Left,SS,No,Yes,0
Weserwind Wolves,Florian,Krämer,Belgium,22,180,76,5249121,Left,SW,Yes,Yes,8
Weserwind Wolves,Yusuf,Lehmann,France,20,181,72,7003409,Left,RW,No,No,25
Weserwind Wolves,Patrick,Becker,Poland,20,180,61,9800276,Right,RWB,No,No,8
Weserwind Wolves,Patrick,Krämer,Spain,30,181,81,1598186,Right,SW,No,No,0
Weserwind Wolves,Jonas,Müller,Senegal,32,168,78,3480329,Left,LM,Yes,Yes,21
Weserwind Wolves,Yusuf,Lehmann,Denmark,18,192,61,7942658,Left,SW,Yes,No,7
Eisbach Falcons,Lukas,Müller,Belgium,18,180,68,8577252,Left,CDM,No,Yes,0
Eisbach Falcons,Timo,Müller,Denmark,33,176,70,5548665,Both,CF,Yes,Yes,0
Eisbach Falcons,Marco,Traoré,Italy,23,180,78,2094625,Right,SW,Yes,Yes,30
Eisbach Falcons,Santiago,Larsen,England,30,165,63,8158783,Left,CAM,No,No,0
Eisbach Falcons,Patrick,Lehmann,England,32,165,63,2067770,Left,RB,Yes,No,44
Eisbach Falcons,Emil,Krämer,Senegal,31,175,83,3213940,Both,LWB,No,Yes,23
Eisbach Falcons,Florian,Kaya,Japan,23,166,86,6477972,Both,RB,Yes,No,26
Eisbach Falcons,Emil,García,Netherlands,35,186,64,4851454,Right,SS,No,No,49
Eisbach Falcons,Patrick,Schmidt,England,30,195,81,9885624,Both,LB,No,Yes,0
Eisbach Falcons,Jonas,Schmidt,Netherlands,22,186,76,6453922,Right,SS,Yes,Yes,0
Eisbach Falcons,Lukas,Traoré,Brazil,32,166,75,3054829,Both,LB,No,No,43
Eisbach Falcons,Marco,Kaya,Senegal,32,166,65,3349465,Both,RM,No,No,0
Eisbach Falcons,Yusuf,Becker,England,27,195,74,2161938,Right,SS,Yes,Yes,0
Eisbach Falcons,Ismael,Traoré,Italy,35,191,78,4116171,Right,SS,Yes,No,15
Eisbach Falcons,Jonas,Becker,Turkey,25,179,73,4121834,Right,LWB,No,Yes,28
Eisbach Falcons,Mamadou,Krämer,France,25,185,65,5880494,Left,LB,No,No,0
Eisbach Falcons,Ismael,Schmidt,Netherlands,27,184,87,7173769,Both,CAM,No,Yes,32
Eisbach Falcons,Lukas,Lehmann,England,36,167,60,8410243,Both,LWB,Yes,Yes,6
